country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,continent
Algeria,DZA,29/01/2021,0,,,,,0,,,,Sputnik V,Africa
Algeria,DZA,30/01/2021,30,,,30,30,0,,,1,Sputnik V,Africa
Andorra,AND,25/01/2021,576,576,,,,0.75,0.75,,,Pfizer/BioNTech,Europe
Andorra,AND,26/01/2021,,,,,66,,,,854,Pfizer/BioNTech,Europe
Andorra,AND,27/01/2021,,,,,66,,,,854,Pfizer/BioNTech,Europe
Andorra,AND,28/01/2021,,,,,66,,,,854,Pfizer/BioNTech,Europe
Andorra,AND,29/01/2021,,,,,66,,,,854,Pfizer/BioNTech,Europe
Andorra,AND,30/01/2021,,,,,66,,,,854,Pfizer/BioNTech,Europe
Andorra,AND,31/01/2021,,,,,66,,,,854,Pfizer/BioNTech,Europe
Andorra,AND,1/02/2021,1036,1036,,,66,1.34,1.34,,854,Pfizer/BioNTech,Europe
Argentina,ARG,29/12/2020,700,,,,,0,,,,Sputnik V,South America
Argentina,ARG,30/12/2020,,,,,15656,,,,346,Sputnik V,South America
Argentina,ARG,31/12/2020,32013,,,,15656,0.07,,,346,Sputnik V,South America
Argentina,ARG,1/01/2021,,,,,11070,,,,245,Sputnik V,South America
Argentina,ARG,2/01/2021,,,,,8776,,,,194,Sputnik V,South America
Argentina,ARG,3/01/2021,,,,,7400,,,,164,Sputnik V,South America
Argentina,ARG,4/01/2021,39599,,,,6483,0.09,,,143,Sputnik V,South America
Argentina,ARG,5/01/2021,,,,,7984,,,,177,Sputnik V,South America
Argentina,ARG,6/01/2021,,,,,8173,,,,181,Sputnik V,South America
Argentina,ARG,7/01/2021,,,,,8363,,,,185,Sputnik V,South America
Argentina,ARG,8/01/2021,107542,,,,10519,0.24,,,233,Sputnik V,South America
Argentina,ARG,9/01/2021,,,,,11942,,,,264,Sputnik V,South America
Argentina,ARG,10/01/2021,,,,,13365,,,,296,Sputnik V,South America
Argentina,ARG,11/01/2021,,,,,14788,,,,327,Sputnik V,South America
Argentina,ARG,12/01/2021,,,,,14056,,,,311,Sputnik V,South America
Argentina,ARG,13/01/2021,166833,,,,13323,0.37,,,295,Sputnik V,South America
Argentina,ARG,14/01/2021,,,,,13320,,,,295,Sputnik V,South America
Argentina,ARG,15/01/2021,200759,,,,13317,0.44,,,295,Sputnik V,South America
Argentina,ARG,16/01/2021,,,,,12971,,,,287,Sputnik V,South America
Argentina,ARG,17/01/2021,,,,,12624,,,,279,Sputnik V,South America
Argentina,ARG,18/01/2021,,,,,12278,,,,272,Sputnik V,South America
Argentina,ARG,19/01/2021,,,,,11932,,,,264,Sputnik V,South America
Argentina,ARG,20/01/2021,247933,243539,4394,,11586,0.55,0.54,0.01,256,Sputnik V,South America
Argentina,ARG,21/01/2021,265724,249372,16352,17791,11704,0.59,0.55,0.04,259,Sputnik V,South America
Argentina,ARG,22/01/2021,279602,254456,25146,13878,11263,0.62,0.56,0.06,249,Sputnik V,South America
Argentina,ARG,23/01/2021,288064,258876,29188,8462,11124,0.64,0.57,0.06,246,Sputnik V,South America
Argentina,ARG,24/01/2021,292023,260036,31987,3959,10342,0.65,0.58,0.07,229,Sputnik V,South America
Argentina,ARG,25/01/2021,292386,260122,32264,363,9046,0.65,0.58,0.07,200,Sputnik V,South America
Argentina,ARG,26/01/2021,305880,266969,38911,13494,9626,0.68,0.59,0.09,213,Sputnik V,South America
Argentina,ARG,27/01/2021,318033,272323,45710,12153,10014,0.7,0.6,0.1,222,Sputnik V,South America
Argentina,ARG,28/01/2021,327999,276548,51451,9966,8896,0.73,0.61,0.11,197,Sputnik V,South America
Argentina,ARG,29/01/2021,344034,278451,65583,16035,9205,0.76,0.62,0.15,204,Sputnik V,South America
Argentina,ARG,30/01/2021,366384,281023,85361,22350,11189,0.81,0.62,0.19,248,Sputnik V,South America
Argentina,ARG,31/01/2021,,,,,11299,,,,250,Sputnik V,South America
Argentina,ARG,1/02/2021,375851,281577,94274,,11924,0.83,0.62,0.21,264,Sputnik V,South America
Argentina,ARG,2/02/2021,,,,,11475,,,,254,Sputnik V,South America
Argentina,ARG,3/02/2021,396562,284196,112366,,11218,0.88,0.63,0.25,248,Sputnik V,South America
Argentina,ARG,4/02/2021,444018,297717,146301,47456,16574,0.98,0.66,0.32,367,Sputnik V,South America
Argentina,ARG,5/02/2021,,,,,16238,,,,359,Sputnik V,South America
Argentina,ARG,6/02/2021,471383,307501,163882,,15000,1.04,0.68,0.36,332,Sputnik V,South America
Austria,AUT,10/01/2021,6784,6784,,,,0.08,0.08,,,Pfizer/BioNTech,Europe
Austria,AUT,11/01/2021,11559,11559,,4775,4775,0.13,0.13,,530,Pfizer/BioNTech,Europe
Austria,AUT,12/01/2021,13172,13172,,1613,3194,0.15,0.15,,355,Pfizer/BioNTech,Europe
Austria,AUT,13/01/2021,20064,20064,,6892,4427,0.22,0.22,,492,Pfizer/BioNTech,Europe
Austria,AUT,14/01/2021,29359,29359,,9295,5644,0.33,0.33,,627,Pfizer/BioNTech,Europe
Austria,AUT,15/01/2021,39751,39751,,10392,6593,0.44,0.44,,732,Pfizer/BioNTech,Europe
Austria,AUT,16/01/2021,50402,50402,,10651,7270,0.56,0.56,,807,Pfizer/BioNTech,Europe
Austria,AUT,17/01/2021,55450,55450,,5048,6952,0.62,0.62,,772,Pfizer/BioNTech,Europe
Austria,AUT,18/01/2021,61012,60708,304,5562,7065,0.68,0.67,0,784,Pfizer/BioNTech,Europe
Austria,AUT,19/01/2021,71508,70474,1034,10496,8334,0.79,0.78,0.01,925,Pfizer/BioNTech,Europe
Austria,AUT,20/01/2021,88895,86888,2007,17387,9833,0.99,0.96,0.02,1092,Pfizer/BioNTech,Europe
Austria,AUT,21/01/2021,108252,105038,3214,19357,11270,1.2,1.17,0.04,1251,Pfizer/BioNTech,Europe
Austria,AUT,22/01/2021,124756,121216,3540,16504,12144,1.39,1.35,0.04,1348,Pfizer/BioNTech,Europe
Austria,AUT,23/01/2021,136348,132105,4243,11592,12278,1.51,1.47,0.05,1363,Pfizer/BioNTech,Europe
Austria,AUT,24/01/2021,139538,135249,4289,3190,12013,1.55,1.5,0.05,1334,Pfizer/BioNTech,Europe
Austria,AUT,25/01/2021,141350,137044,4306,1812,11477,1.57,1.52,0.05,1274,Pfizer/BioNTech,Europe
Austria,AUT,26/01/2021,150933,146587,4346,9583,11346,1.68,1.63,0.05,1260,Pfizer/BioNTech,Europe
Austria,AUT,27/01/2021,158985,153859,5126,8052,10013,1.77,1.71,0.06,1112,Pfizer/BioNTech,Europe
Austria,AUT,28/01/2021,169439,163806,5633,10454,8741,1.88,1.82,0.06,971,Pfizer/BioNTech,Europe
Austria,AUT,29/01/2021,181419,174262,7157,11980,8095,2.01,1.93,0.08,899,Pfizer/BioNTech,Europe
Austria,AUT,30/01/2021,197179,183628,13551,15760,8690,2.19,2.04,0.15,965,Pfizer/BioNTech,Europe
Austria,AUT,31/01/2021,200498,185291,15207,3319,8709,2.23,2.06,0.17,967,Pfizer/BioNTech,Europe
Austria,AUT,1/02/2021,202345,186479,15866,1847,8714,2.25,2.07,0.18,968,Pfizer/BioNTech,Europe
Austria,AUT,2/02/2021,208988,189926,19062,6643,8294,2.32,2.11,0.21,921,Pfizer/BioNTech,Europe
Austria,AUT,3/02/2021,222520,194287,28233,13532,9076,2.47,2.16,0.31,1008,Pfizer/BioNTech,Europe
Austria,AUT,4/02/2021,238241,198912,39329,15721,9829,2.65,2.21,0.44,1091,Pfizer/BioNTech,Europe
Austria,AUT,5/02/2021,252829,202160,50669,14588,10201,2.81,2.24,0.56,1133,Pfizer/BioNTech,Europe
Austria,AUT,6/02/2021,270267,208144,62123,17438,10441,3,2.31,0.69,1159,Pfizer/BioNTech,Europe
Bahrain,BHR,23/12/2020,38965,38965,,,,2.29,2.29,,,"Pfizer/BioNTech, Sinopharm",Asia
Bahrain,BHR,24/12/2020,50071,50071,,11106,11106,2.94,2.94,,6527,"Pfizer/BioNTech, Sinopharm",Asia
Bahrain,BHR,25/12/2020,50543,50543,,472,5789,2.97,2.97,,3402,"Pfizer/BioNTech, Sinopharm",Asia
Bahrain,BHR,26/12/2020,51556,51556,,1013,4197,3.03,3.03,,2467,"Pfizer/BioNTech, Sinopharm",Asia
Bahrain,BHR,27/12/2020,53614,53614,,2058,3662,3.15,3.15,,2152,"Pfizer/BioNTech, Sinopharm",Asia
Bahrain,BHR,28/12/2020,55014,55014,,1400,3210,3.23,3.23,,1886,"Pfizer/BioNTech, Sinopharm",Asia
